;mode: matches	thresholds:	cor=-1.000000	ncor=-1.000000	w=0	ncor1=-1.000000	ncor2=-1.000000
#id1	id2	name1	name2	cor	Ncor	Ncor1	Ncor2	w1	w2	w	W	Wr	wr1	wr2	strand	offset	uncounted
Unkown_motifs_m15	Unkown_motifs_m21	Unkown_motifs_m15	Unkown_motifs_m21	0.425291	0.124043	0.297704	0.141764	10	21	7	24	0.291667	0.700000	0.333333	R	3	59
Unkown_motifs_m15	Unkown_motifs_m22	Unkown_motifs_m15	Unkown_motifs_m22	0.319988	0.152375	0.319988	0.152375	10	21	10	21	0.476190	1.000000	0.476190	D	-9	59
Unkown_motifs_m15	Unkown_motifs_m23	Unkown_motifs_m15	Unkown_motifs_m23	0.565240	0.188413	0.339144	0.242246	10	14	6	18	0.333333	0.600000	0.428571	D	-8	45
Unkown_motifs_m15	Unkown_motifs_m24	Unkown_motifs_m15	Unkown_motifs_m24	0.253469	0.168979	0.253469	0.168979	10	15	10	15	0.666667	1.000000	0.666667	D	-5	47
Unkown_motifs_m15	Unkown_motifs_m25	Unkown_motifs_m15	Unkown_motifs_m25	0.258540	0.161588	0.258540	0.161588	10	16	10	16	0.625000	1.000000	0.625000	D	-6	49
Unkown_motifs_m15	Unkown_motifs_m26	Unkown_motifs_m15	Unkown_motifs_m26	0.381176	0.179377	0.304941	0.203294	10	15	8	17	0.470588	0.800000	0.533333	D	-7	47
Unkown_motifs_m15	Unkown_motifs_m27	Unkown_motifs_m15	Unkown_motifs_m27	0.271207	0.180805	0.271207	0.180805	10	15	10	15	0.666667	1.000000	0.666667	R	-1	47
Unkown_motifs_m15	Unkown_motifs_m28	Unkown_motifs_m15	Unkown_motifs_m28	0.264761	0.165475	0.264761	0.165475	10	16	10	16	0.625000	1.000000	0.625000	R	-2	49
Unkown_motifs_m15	Unkown_motifs_m29	Unkown_motifs_m15	Unkown_motifs_m29	0.377716	0.137351	0.302173	0.151086	10	20	8	22	0.363636	0.800000	0.400000	R	2	57
Unkown_motifs_m15	Unkown_motifs_m30	Unkown_motifs_m15	Unkown_motifs_m30	0.306738	0.184043	0.276064	0.197189	10	14	9	15	0.600000	0.900000	0.642857	D	1	45
Unkown_motifs_m15	Unkown_motifs_m31	Unkown_motifs_m15	Unkown_motifs_m31	0.301609	0.118021	0.271448	0.123385	10	22	9	23	0.391304	0.900000	0.409091	R	1	61
Unkown_motifs_m15	Unkown_motifs_m32	Unkown_motifs_m15	Unkown_motifs_m32	0.265859	0.126600	0.265859	0.126600	10	21	10	21	0.476190	1.000000	0.476190	R	-9	59
Unkown_motifs_m15	Unkown_motifs_m33	Unkown_motifs_m15	Unkown_motifs_m33	0.238413	0.158942	0.238413	0.158942	10	15	10	15	0.666667	1.000000	0.666667	R	-2	47
Unkown_motifs_m16	Unkown_motifs_m1	Unkown_motifs_m16	Unkown_motifs_m1	0.882091	0.801901	0.801901	0.882091	11	10	10	11	0.909091	0.909091	1.000000	D	1	39
